Year,Jurisdiction,Tonnes,Recovery,Recycling,Not Recovery,Recovery Rate,Recycling Rate
2015-2016,SA,4330292.586050667,3430272.464032653,3294656.7473946353,900020.1220180141,0.7921572032067111,0.760839292478258
2015-2016,Tas,787983.4688554473,524112.5707772312,488011.58028690337,263870.89807821607,0.6651314291383665,0.6193170283073887
2015-2016,Vic,11271973.328482596,8181992.222072473,7623250.442143035,3089981.1064101234,0.7258704384437992,0.6763013200962974
2015-2016,WA,5211858.4526802935,3771611.484032644,3625853.7395188888,1440246.9686476495,0.7236596155240985,0.6956930569851196
2016-2017,ACT,470201.6153240007,33230.55830195754,7693.758059610814,436971.05702204315,0.07067299902629948,0.01636267892084823
2016-2017,NSW,20678882.265637647,16359055.463588135,15826124.736729404,4319826.802049512,0.7910995987811285,0.7653278612175218
2016-2017,NT,166786.67292941737,51825.87339110547,40011.35479736047,114960.7995383119,0.3107315019889972,0.2398953950852711
2016-2017,Qld,8589443.36017767,1970380.682899816,1655974.040475643,6619062.677277854,0.2293956197481765,0.19279177602509853
2016-2017,SA,3961747.532278696,3446304.975130914,3323531.277649827,515442.5571477823,0.8698951528465235,0.8389053695549894
2016-2017,Tas,595556.1532732759,394982.52196513244,364806.5415964822,200573.6313081435,0.6632162555860478,0.6125476826852424
2016-2017,Vic,11488759.182524713,8312309.070936641,7836448.234346,3176450.111588072,0.7235166947863528,0.6820970054160279
2016-2017,WA,5086785.942505156,3831788.268949124,3669304.636392173,1254997.6735560317,0.753282782538719,0.7213404845152778
2017-2018,ACT,347305.49358096975,103876.44733769557,7372.4701335820355,243429.04624327418,0.29909243953113035,0.021227623144012376
2017-2018,NSW,21707178.825961813,16824298.666859467,16392196.896420358,4882880.159102347,0.7750568971559576,0.7551509584845392
2017-2018,NT,164031.45605702203,47386.24244953625,35441.44710289837,116645.21360748578,0.2888850930705842,0.2160649423887203
2017-2018,Qld,12740224.684583733,6115333.122150591,5771771.786715059,6624891.562433142,0.48000198376017883,0.4530353215590595
2017-2018,SA,4333872.173552092,3806188.953261369,3623508.885046504,527683.2202907233,0.8782420894850187,0.836090392134624
2017-2018,Tas,530011.4095356357,330217.58166900085,293210.0304105658,199793.82786663488,0.6230386284671074,0.5532145631873451
2017-2018,Vic,13506937.47085788,10325780.953745235,9766215.307409309,3181156.5171126444,0.7644798072119455,0.7230517893845716
2017-2018,WA,5288037.128984741,3938975.4904149,3753731.401188191,1349061.6385698412,0.7448842347994539,0.7098534502742563
2018-2019,ACT,303099.10130945896,136726.7238945413,7150.228974485573,166372.37741491766,0.45109577462899064,0.023590399785399934
2018-2019,NSW,21391636.82457739,15896696.366081499,15434506.90814037,5494940.458495893,0.7431266946256951,0.7215206126913709
2018-2019,NT,209164.7295820344,90078.82840169498,75561.51197792725,119085.90118033942,0.4306597416385446,0.361253602024198
2018-2019,Qld,13242399.749645064,6840898.798891256,6417005.377853554,6401500.950753808,0.5165905672855565,0.48458024974102964
2018-2019,SA,4212632.23311098,3710913.695672595,3528314.2571586506,501718.5374383852,0.8809014151544219,0.8375557280852478
2018-2019,Tas,688754.8972577197,438316.3620271505,402108.25600866775,250438.53523056913,0.6363894670982505,0.5838190880524601
2018-2019,Vic,14429839.413210936,11253028.1818672,10778360.760848982,3176811.231343735,0.7798443114733992,0.7469494602262227
2018-2019,WA,5625165.250124572,4214283.317254331,4082842.786219703,1410881.9328702409,0.749183913692314,0.7258173946319687
2019-2020,ACT,939356.3058593186,785897.7419794417,554561.7601308014,153458.56387987686,0.8366343389375624,0.5903635890573928
2019-2020,NSW,20150677.625840023,15932307.169448072,15481607.56272536,4218370.456391951,0.7906586302099059,0.7682921562336282
2019-2020,NT,197020.01030331588,53698.58774322816,50257.267946573746,143321.42256008773,0.27255397896162026,0.2550871247504341
2019-2020,Qld,12228498.433616318,6467925.702024228,6011525.0899478,5760572.73159209,0.5289223151260998,0.4915996123793933
2019-2020,SA,4212880.816535427,3850906.050321125,3632166.1278654775,361974.7662143023,0.914079039503429,0.8621573422180228
2019-2020,Tas,641769.0468951357,423684.5581712643,381477.43493125704,218084.48872387136,0.6601822886613817,0.5944154470784099
2019-2020,Vic,15273311.417228451,11826973.779096043,11284851.868210992,3446337.6381324083,0.7743555707084644,0.7388608507963482
2019-2020,WA,6195851.86363387,4838192.994204027,4677567.989293279,1357658.8694298435,0.7808761572563525,0.7549515534333455
2020-2021,ACT,797080.2975155266,673472.2556141233,500790.8874382934,123608.04190140334,0.844923977814173,0.6282816034962128
2020-2021,NSW,21159780.022445172,16195161.510612778,13310000.400140384,4964618.511832394,0.7653747578393447,0.6290235714181264
2020-2021,NT,247839.8825110589,67398.85838096302,63140.55542970441,180441.0241300959,0.2719451675738896,0.25476349806971443
2020-2021,Qld,12815468.861622026,6908068.791191652,5610831.863229185,5907400.070430374,0.5390414401363786,0.43781713519914356
2020-2021,SA,4641795.180705606,4249152.769739229,4066361.9993018596,392642.4109663768,0.915411517380504,0.8760321903483311
2020-2021,Tas,578066.7463645822,383967.2687162521,339729.58856403077,194099.4776483301,0.6642265294293316,0.5876995878080936
2020-2021,Vic,15468345.779067352,11981133.036242852,11487845.054224439,3487212.7428245004,0.7745581335824807,0.7426679761562123
2020-2021,WA,6551575.452655621,5113066.826086549,4945306.2541700555,1438508.6265690718,0.780433174132798,0.7548270320485313
